Genome ,Coverage,Genes
DFU001,0.8975741,TPANIC_RS04245
DFU001,0.9451008,TPANIC_RS04270
DFU001,0.8467105,TPANIC_RS04420
DFU001,1,TPANIC_RS04710
DFU001,1,TPANIC_RS04715
DFU001,1,TPANIC_RS04720
DFU001,1,TPANIC_RS04760
DFU001,0.9884095,TPANIC_RS04765
DFU001,0.9972937,TPANIC_RS04770
DFU001,1,TPANIC_RS04775
DFU001,1,TPANIC_RS04780
DFU001,1,TPANIC_RS04995
DFU001,1,TPANIC_RS05015
DFU001,0.9928923,TPANIC_RS05095
DFU001,1,TPANIC_RS05095-377bp-del
DFU001,1,TPANIC_RS05130
Japan320,1,TPANIC_RS05525
Japan320,1,TPANIC_RS05530
Japan320,1,TPANIC_RS05535
Japan320,1,TPANIC_RS00045
Japan320,1,TPANIC_RS00200
Japan320,1,TPANIC_RS00450
Japan320,1,TPANIC_RS00560
Japan320,0.9465479,TPANIC_RS00590
Japan320,1,TPANIC_RS00635
Japan320,0.9654788,TPANIC_RS00665
Japan320,0.9610389,TPANIC_RS00675
Japan320,1,TPANIC_RS00680
Japan320,0.9119031,TPANIC_RS00695
Japan320,1,TPANIC_RS00795
Japan320,0.9989201,TPANIC_RS00830
Japan320,1,TPANIC_RS00870
Japan320,1,TPANIC_RS01295
Japan320,1,TPANIC_RS01455
Japan320,1,TPANIC_RS01480
Japan320,0.9938811,TPANIC_RS01545
Japan320,0.9254606,TPANIC_RS01555 
Japan320,1,TPANIC_RS01560
Japan320,0.9741345,TPANIC_RS01590
Japan320,1,TPANIC_RS01595
Japan320,0.5319735,TPANIC_RS02115
Japan320,1,TPANIC_RS02120
Japan320,1,TPANIC_RS02210
Japan320,0.8477237,TPANIC_RS02260
Japan320,0.9479769,TPANIC_RS02345
Japan320,0.9889634,TPANIC_RS02370
Japan320,1,TPANIC_RS02405
Japan320,1,TPANIC_RS02520
Japan320,0.9800614,TPANIC_RS02695
Japan320,1,TPANIC_RS02820
Japan320,1,TPANIC_RS02830
Japan320,1,TPANIC_RS03015
Japan320,0.751497,TPANIC_RS03060
Japan320,0.9551668,TPANIC_RS03065
Japan320,0.7781195,TPANIC_RS03070
Japan320,1,TPANIC_RS03170
Japan320,0.9913232,TPANIC_RS03175
Japan320,1,TPANIC_RS03245
Japan320,1,TPANIC_RS03475
Japan320,0.9317147,TPANIC_RS03635
Japan320,1,TPANIC_RS03715
Japan320,1,TPANIC_RS03720
Japan320,1,TPANIC_RS03800
Japan320,0.9918117,TPANIC_RS03805
Japan320,1,TPANIC_RS03940
Japan320,1,TPANIC_RS04050
Japan320,0.9721284,TPANIC_RS04235
Japan320,0.8950042,TPANIC_RS04240
Japan320,0.9791105,TPANIC_RS04245
Japan320,0.9381515,TPANIC_RS04270
Japan320,0.543421,TPANIC_RS04420
Japan320,1,TPANIC_RS04710
Japan320,1,TPANIC_RS04715
Japan320,1,TPANIC_RS04720
Japan320,1,TPANIC_RS04760
Japan320,0.9942048,TPANIC_RS04765
Japan320,1,TPANIC_RS04770
Japan320,1,TPANIC_RS04775
Japan320,1,TPANIC_RS04780
Japan320,1,TPANIC_RS04995
Japan320,1,TPANIC_RS05015
Japan320,1,TPANIC_RS05095
Japan320,1,TPANIC_RS05095-377bp-del
Japan320,1,TPANIC_RS05130
Japan322,1,TPANIC_RS05525
Japan322,1,TPANIC_RS05530
Japan322,1,TPANIC_RS05535
Japan322,1,TPANIC_RS00045
Japan322,1,TPANIC_RS00200
Japan322,1,TPANIC_RS00450
Japan322,1,TPANIC_RS00560
Japan322,0.9153675,TPANIC_RS00590
Japan322,1,TPANIC_RS00635
Japan322,0.957127,TPANIC_RS00665
Japan322,0.9732143,TPANIC_RS00675
Japan322,1,TPANIC_RS00680
Japan322,0.9145932,TPANIC_RS00695
Japan322,1,TPANIC_RS00795
Japan322,1,TPANIC_RS00830
Japan322,1,TPANIC_RS00870
Japan322,1,TPANIC_RS01295
Japan322,1,TPANIC_RS01455
Japan322,1,TPANIC_RS01480
Japan322,1,TPANIC_RS01545
Japan322,0.9329983,TPANIC_RS01555 
Japan322,0.9973568,TPANIC_RS01560
Japan322,0.9693593,TPANIC_RS01590
Japan322,1,TPANIC_RS01595
Japan322,0.522602,TPANIC_RS02115
Japan322,1,TPANIC_RS02120
Japan322,1,TPANIC_RS02210
Japan322,0.8963893,TPANIC_RS02260
Japan322,0.9554088,TPANIC_RS02345
Japan322,1,TPANIC_RS02370
Japan322,1,TPANIC_RS02405
Japan322,1,TPANIC_RS02520
Japan322,0.9532208,TPANIC_RS02695
Japan322,1,TPANIC_RS02820
Japan322,1,TPANIC_RS02830
Japan322,1,TPANIC_RS03015
Japan322,0.9715569,TPANIC_RS03060
Japan322,0.9535265,TPANIC_RS03065
Japan322,1,TPANIC_RS03070
Japan322,0.9979317,TPANIC_RS03170
Japan322,1,TPANIC_RS03175
Japan322,1,TPANIC_RS03245
Japan322,1,TPANIC_RS03475
Japan322,0.9332322,TPANIC_RS03635
Japan322,1,TPANIC_RS03715
Japan322,1,TPANIC_RS03720
Japan322,1,TPANIC_RS03800
Japan322,1,TPANIC_RS03805
Japan322,1,TPANIC_RS03940
Japan322,1,TPANIC_RS04050
Japan322,0.9856419,TPANIC_RS04235
Japan322,0.9043184,TPANIC_RS04240
Japan322,0.9939353,TPANIC_RS04245
Japan322,0.9589993,TPANIC_RS04270
Japan322,0.5921053,TPANIC_RS04420
Japan322,1,TPANIC_RS04710
Japan322,1,TPANIC_RS04715
Japan322,1,TPANIC_RS04720
Japan322,1,TPANIC_RS04760
Japan322,0.9967804,TPANIC_RS04765
Japan322,1,TPANIC_RS04770
Japan322,1,TPANIC_RS04775
Japan322,1,TPANIC_RS04780
Japan322,1,TPANIC_RS04995
Japan322,1,TPANIC_RS05015
Japan322,1,TPANIC_RS05095
Japan322,1,TPANIC_RS05095-377bp-del
Japan322,1,TPANIC_RS05130
Japan326,1,TPANIC_RS05525
Japan326,1,TPANIC_RS05530
Japan326,1,TPANIC_RS05535
Japan326,1,TPANIC_RS00045
Japan326,1,TPANIC_RS00200
Japan326,1,TPANIC_RS00450
Japan326,1,TPANIC_RS00560
Japan326,0.957127,TPANIC_RS00590
Japan326,1,TPANIC_RS00635
Japan326,0.9493318,TPANIC_RS00665
Japan326,0.9699675,TPANIC_RS00675
Japan326,1,TPANIC_RS00680
Japan326,0.8870208,TPANIC_RS00695
Japan326,1,TPANIC_RS00795
Japan326,1,TPANIC_RS00830
Japan326,1,TPANIC_RS00870
Japan326,1,TPANIC_RS01295
Japan326,1,TPANIC_RS01455
Japan326,1,TPANIC_RS01480
Japan326,1,TPANIC_RS01545
Japan326,0.9430486,TPANIC_RS01555 
Japan326,1,TPANIC_RS01560
Japan326,0.9721448,TPANIC_RS01590
Japan326,1,TPANIC_RS01595
Japan326,0.5319735,TPANIC_RS02115
Japan326,1,TPANIC_RS02120
Japan326,1,TPANIC_RS02210
Japan326,0.8626373,TPANIC_RS02260
Japan326,0.9488026,TPANIC_RS02345
Japan326,1,TPANIC_RS02370
Japan326,1,TPANIC_RS02405
Japan326,1,TPANIC_RS02520
Japan326,0.9693251,TPANIC_RS02695
Japan326,1,TPANIC_RS02820
Japan326,1,TPANIC_RS02830
Japan326,1,TPANIC_RS03015
Japan326,0.751497,TPANIC_RS03060
Japan326,0.9606342,TPANIC_RS03065
Japan326,0.7803164,TPANIC_RS03070
Japan326,1,TPANIC_RS03170
Japan326,1,TPANIC_RS03175
Japan326,1,TPANIC_RS03245
Japan326,1,TPANIC_RS03475
Japan326,0.9468892,TPANIC_RS03635
Japan326,1,TPANIC_RS03715
Japan326,1,TPANIC_RS03720
Japan326,1,TPANIC_RS03800
Japan326,1,TPANIC_RS03805
Japan326,1,TPANIC_RS03940
Japan326,1,TPANIC_RS04050
Japan326,0.9763514,TPANIC_RS04235
Japan326,0.8941575,TPANIC_RS04240
Japan326,0.9871967,TPANIC_RS04245
Japan326,0.9583044,TPANIC_RS04270
Japan326,0.5967105,TPANIC_RS04420
Japan326,1,TPANIC_RS04710
Japan326,1,TPANIC_RS04715
Japan326,1,TPANIC_RS04720
Japan326,1,TPANIC_RS04760
Japan326,0.9890534,TPANIC_RS04765
Japan326,1,TPANIC_RS04770
Japan326,1,TPANIC_RS04775
Japan326,1,TPANIC_RS04780
Japan326,1,TPANIC_RS04995
Japan326,1,TPANIC_RS05015
Japan326,1,TPANIC_RS05095
Japan326,1,TPANIC_RS05095-377bp-del
Japan326,1,TPANIC_RS05130
Japan346,1,TPANIC_RS05525
Japan346,1,TPANIC_RS05530
Japan346,1,TPANIC_RS05535
Japan346,1,TPANIC_RS00045
Japan346,1,TPANIC_RS00200
Japan346,1,TPANIC_RS00450
Japan346,1,TPANIC_RS00560
Japan346,0.951559,TPANIC_RS00590
Japan346,1,TPANIC_RS00635
Japan346,0.9576837,TPANIC_RS00665
Japan346,0.9707792,TPANIC_RS00675
Japan346,1,TPANIC_RS00680
Japan346,0.8372562,TPANIC_RS00695
Japan346,0.9982063,TPANIC_RS00795
Japan346,1,TPANIC_RS00830
Japan346,1,TPANIC_RS00870
Japan346,1,TPANIC_RS01295
Japan346,1,TPANIC_RS01455
Japan346,1,TPANIC_RS01480
Japan346,1,TPANIC_RS01545
Japan346,0.9061977,TPANIC_RS01555 
Japan346,1,TPANIC_RS01560
Japan346,0.9677676,TPANIC_RS01590
Japan346,1,TPANIC_RS01595
Japan346,0.5319735,TPANIC_RS02115
Japan346,1,TPANIC_RS02120
Japan346,1,TPANIC_RS02210
Japan346,0.8163266,TPANIC_RS02260
Japan346,0.9463254,TPANIC_RS02345
Japan346,1,TPANIC_RS02370
Japan346,1,TPANIC_RS02405
Japan346,1,TPANIC_RS02520
Japan346,0.9670246,TPANIC_RS02695
Japan346,0.9954887,TPANIC_RS02820
Japan346,1,TPANIC_RS02830
Japan346,1,TPANIC_RS03015
Japan346,0.748503,TPANIC_RS03060
Japan346,0.9633679,TPANIC_RS03065
Japan346,0.7662566,TPANIC_RS03070
Japan346,1,TPANIC_RS03170
Japan346,1,TPANIC_RS03175
Japan346,1,TPANIC_RS03245
Japan346,1,TPANIC_RS03475
Japan346,0.9135053,TPANIC_RS03635
Japan346,1,TPANIC_RS03715
Japan346,1,TPANIC_RS03720
Japan346,1,TPANIC_RS03800
Japan346,1,TPANIC_RS03805
Japan346,1,TPANIC_RS03940
Japan346,1,TPANIC_RS04050
Japan346,0.9510135,TPANIC_RS04235
Japan346,0.9060119,TPANIC_RS04240
Japan346,0.9764151,TPANIC_RS04245
Japan346,0.9291174,TPANIC_RS04270
Japan346,0.5072368,TPANIC_RS04420
Japan346,1,TPANIC_RS04710
Japan346,1,TPANIC_RS04715
Japan346,1,TPANIC_RS04720
Japan346,1,TPANIC_RS04760
Japan346,0.9884095,TPANIC_RS04765
Japan346,1,TPANIC_RS04770
Japan346,1,TPANIC_RS04775
Japan346,1,TPANIC_RS04780
Japan346,1,TPANIC_RS04995
Japan346,1,TPANIC_RS05015
Japan346,1,TPANIC_RS05095
Japan346,1,TPANIC_RS05095-377bp-del
Japan346,1,TPANIC_RS05130
C77,0.6358696,TPANIC_RS05525
C77,1,TPANIC_RS05530
C77,0.982699,TPANIC_RS05535
C77,0.9187689,TPANIC_RS00045
C77,0.8580196,TPANIC_RS00200
C77,1,TPANIC_RS00450
C77,0.9436241,TPANIC_RS00560
C77,0.3524499,TPANIC_RS00590
C77,0.6989568,TPANIC_RS00635
C77,0.3123608,TPANIC_RS00665
C77,0.8733766,TPANIC_RS00675
C77,1,TPANIC_RS00680
C77,0.7626093,TPANIC_RS00695
C77,0.9497758,TPANIC_RS00795
C77,1,TPANIC_RS00830
C77,0.7009346,TPANIC_RS00870
C77,0.8925233,TPANIC_RS01295
C77,0.2098963,TPANIC_RS01455
C77,0.729389,TPANIC_RS01480
C77,0.4475524,TPANIC_RS01545
C77,0.1323283,TPANIC_RS01555 
C77,0.3299559,TPANIC_RS01560
C77,0.8300835,TPANIC_RS01590
C77,0.6351351,TPANIC_RS01595
C77,0.4184124,TPANIC_RS02115
C77,0.8382978,TPANIC_RS02120
C77,1,TPANIC_RS02210
C77,0.5047096,TPANIC_RS02260
C77,0.891825,TPANIC_RS02345
C77,0.7288136,TPANIC_RS02370
C77,0.9520436,TPANIC_RS02405
C77,0.4413445,TPANIC_RS02520
C77,0.6503068,TPANIC_RS02695
C77,0.9007519,TPANIC_RS02820
C77,0.6748466,TPANIC_RS02830
C77,0.7679,TPANIC_RS03015
C77,0.2275449,TPANIC_RS03060
C77,0.3105522,TPANIC_RS03065
C77,0.2289104,TPANIC_RS03070
C77,0.9870734,TPANIC_RS03170
C77,0.9436009,TPANIC_RS03175
C77,0.9426386,TPANIC_RS03245
C77,0.5918368,TPANIC_RS03475
C77,0.2018209,TPANIC_RS03635
C77,0.9165425,TPANIC_RS03715
C77,1,TPANIC_RS03720
C77,0.9990357,TPANIC_RS03800
C77,0.9641761,TPANIC_RS03805
C77,1,TPANIC_RS03940
C77,0.8963283,TPANIC_RS04050
C77,0.5641892,TPANIC_RS04235
C77,0.364945,TPANIC_RS04240
C77,0.6556604,TPANIC_RS04245
C77,0.3029882,TPANIC_RS04270
C77,0.2243421,TPANIC_RS04420
C77,0.9423275,TPANIC_RS04710
C77,0.9756809,TPANIC_RS04715
C77,0.9752371,TPANIC_RS04720
C77,0.875765,TPANIC_RS04760
C77,0.7237605,TPANIC_RS04765
C77,0.7956699,TPANIC_RS04770
C77,0.8494282,TPANIC_RS04775
C77,0.8713355,TPANIC_RS04780
C77,0.4898396,TPANIC_RS04995
C77,1,TPANIC_RS05015
C77,0.5965008,TPANIC_RS05095
C77,1,TPANIC_RS05095-377bp-del
C77,0.9155722,TPANIC_RS05130
C279,1,TPANIC_RS05525
C279,1,TPANIC_RS05530
C279,1,TPANIC_RS05535
C279,1,TPANIC_RS00045
C279,0.997545,TPANIC_RS00200
C279,1,TPANIC_RS00450
C279,1,TPANIC_RS00560
C279,0.7327394,TPANIC_RS00590
C279,1,TPANIC_RS00635
C279,0.7288418,TPANIC_RS00665
C279,0.9610389,TPANIC_RS00675
C279,1,TPANIC_RS00680
C279,0.8291863,TPANIC_RS00695
C279,1,TPANIC_RS00795
C279,1,TPANIC_RS00830
C279,1,TPANIC_RS00870
C279,1,TPANIC_RS01295
C279,1,TPANIC_RS01455
C279,1,TPANIC_RS01480
C279,1,TPANIC_RS01545
C279,0.9363484,TPANIC_RS01555 
C279,0.9960352,TPANIC_RS01560
C279,0.9872662,TPANIC_RS01590
C279,1,TPANIC_RS01595
C279,0.8732084,TPANIC_RS02115
C279,1,TPANIC_RS02120
C279,1,TPANIC_RS02210
C279,0.8673469,TPANIC_RS02260
C279,0.9488026,TPANIC_RS02345
C279,1,TPANIC_RS02370
C279,1,TPANIC_RS02405
C279,1,TPANIC_RS02520
C279,0.9217792,TPANIC_RS02695
C279,1,TPANIC_RS02820
C279,1,TPANIC_RS02830
C279,1,TPANIC_RS03015
C279,0.7589821,TPANIC_RS03060
C279,0.9382176,TPANIC_RS03065
C279,0.7803164,TPANIC_RS03070
C279,1,TPANIC_RS03170
C279,1,TPANIC_RS03175
C279,1,TPANIC_RS03245
C279,1,TPANIC_RS03475
C279,0.9317147,TPANIC_RS03635
C279,0.9895678,TPANIC_RS03715
C279,1,TPANIC_RS03720
C279,1,TPANIC_RS03800
C279,1,TPANIC_RS03805
C279,1,TPANIC_RS03940
C279,0.9967602,TPANIC_RS04050
C279,0.9797297,TPANIC_RS04235
C279,0.9593565,TPANIC_RS04240
C279,0.9838275,TPANIC_RS04245
C279,0.9506602,TPANIC_RS04270
C279,0.6875,TPANIC_RS04420
C279,1,TPANIC_RS04710
C279,1,TPANIC_RS04715
C279,0.9963119,TPANIC_RS04720
C279,0.995716,TPANIC_RS04760
C279,0.9890534,TPANIC_RS04765
C279,1,TPANIC_RS04770
C279,1,TPANIC_RS04775
C279,1,TPANIC_RS04780
C279,1,TPANIC_RS04995
C279,1,TPANIC_RS05015
C279,1,TPANIC_RS05095
C279,1,TPANIC_RS05095-377bp-del
C279,1,TPANIC_RS05130
RAZ007,0.9478261,TPANIC_RS05525
RAZ007,0.9653179,TPANIC_RS05530
RAZ007,0.9775087,TPANIC_RS05535
RAZ007,0.9889001,TPANIC_RS00045
RAZ007,0.9742226,TPANIC_RS00200
RAZ007,0.9979508,TPANIC_RS00450
RAZ007,0.9637584,TPANIC_RS00560
RAZ007,0.892539,TPANIC_RS00590
RAZ007,0.8941878,TPANIC_RS00635
RAZ007,0.9114699,TPANIC_RS00665
RAZ007,0.7930195,TPANIC_RS00675
RAZ007,0.7362832,TPANIC_RS00680
RAZ007,0.8715535,TPANIC_RS00695
RAZ007,0.9399103,TPANIC_RS00795
RAZ007,0.9708424,TPANIC_RS00830
RAZ007,0.9859813,TPANIC_RS00870
RAZ007,0.9738318,TPANIC_RS01295
RAZ007,0.9233839,TPANIC_RS01455
RAZ007,0.7914646,TPANIC_RS01480
RAZ007,0.8964161,TPANIC_RS01545
RAZ007,0.9154104,TPANIC_RS01555 
RAZ007,0.960793,TPANIC_RS01560
RAZ007,0.913649,TPANIC_RS01590
RAZ007,0.9864865,TPANIC_RS01595
RAZ007,0.8958104,TPANIC_RS02115
RAZ007,0.8808511,TPANIC_RS02120
RAZ007,0.9942062,TPANIC_RS02210
RAZ007,0.7676609,TPANIC_RS02260
RAZ007,0.8620974,TPANIC_RS02345
RAZ007,0.8376034,TPANIC_RS02370
RAZ007,0.9384196,TPANIC_RS02405
RAZ007,0.9169748,TPANIC_RS02520
RAZ007,0.6088957,TPANIC_RS02695
RAZ007,0.9699248,TPANIC_RS02820
RAZ007,0.886503,TPANIC_RS02830
RAZ007,0.8822681,TPANIC_RS03015
RAZ007,0.751497,TPANIC_RS03060
RAZ007,0.8862767,TPANIC_RS03065
RAZ007,0.7359402,TPANIC_RS03070
RAZ007,0.843847,TPANIC_RS03170
RAZ007,0.9370933,TPANIC_RS03175
RAZ007,1,TPANIC_RS03245
RAZ007,0.9209183,TPANIC_RS03475
RAZ007,0.7769347,TPANIC_RS03635
RAZ007,0.9567809,TPANIC_RS03715
RAZ007,0.9396914,TPANIC_RS03720
RAZ007,0.8881389,TPANIC_RS03800
RAZ007,0.9651996,TPANIC_RS03805
RAZ007,0.8694853,TPANIC_RS03940
RAZ007,0.9460043,TPANIC_RS04050
RAZ007,0.9079392,TPANIC_RS04235
RAZ007,0.7840813,TPANIC_RS04240
RAZ007,0.824124,TPANIC_RS04245
RAZ007,0.7345379,TPANIC_RS04270
RAZ007,0.7486842,TPANIC_RS04420
RAZ007,0.8733265,TPANIC_RS04710
RAZ007,0.8677043,TPANIC_RS04715
RAZ007,0.9151739,TPANIC_RS04720
RAZ007,0.8402693,TPANIC_RS04760
RAZ007,0.7508049,TPANIC_RS04765
RAZ007,0.8254398,TPANIC_RS04770
RAZ007,0.860864,TPANIC_RS04775
RAZ007,1,TPANIC_RS04780
RAZ007,0.8812834,TPANIC_RS04995
RAZ007,0.9806452,TPANIC_RS05015
RAZ007,0.7490432,TPANIC_RS05095
RAZ007,0.8516129,TPANIC_RS05095-377bp-del
RAZ007,0.9831144,TPANIC_RS05130
